name,type,logo_name,url,description
株式会社Diverse,bronze,bc0103fb-98c5-4c17-ae9d-e0e2e357ad0f.svg,https://diverse-inc.co.jp/,累計1900万人が利用するマッチングサービス「YYC」を開発しています。YYCのiOSとAndroidはFlutterで開発しており、マッチング機能だけでなくライブ配信機能などもDartで実装しています。興味のある方はカジュアル面談まで！
株式会社ディー・エヌ・エー,bronze,e1341f82-460a-466d-8464-cb133417072e.png,https://dena.com,DeNAは、「一人ひとりに　想像を超えるDelightを」のミッションのもと、エンターテインメントと社会課題領域の両軸で事業を展開しています。
スタディプラス株式会社,bronze,908c645c-d118-4595-8a5c-3ae27f52b9c4.png,https://tech.studyplus.co.jp/recruit,スタディプラス株式会社は「学ぶ喜びをすべての人へ」をミッションに掲げています\nStudyplusは学習内容を記録・可視化・共有することによりモチベーション維持、 学習の習慣化を補助します\n私たちは学びに寄り添うプラットフォームを作ります
株式会社リクルート,gold,2f556387-3f38-4635-b4f0-aef28efd5d67.png,https://www.recruit.co.jp/employment/,私たちは、個人と企業をつなぎ、より多くの選択肢を提供することで、「まだ、ここにない、出会い。」を実現してきました。いつでもどこでも情報を得られるようになった今だからこそ、より最適な選択肢を提案することで、「まだ、ここにない、出会い。」を、桁違いに速く、驚くほどシンプルに、もっと身近にしていきたいと考えています。
Hamee株式会社,bronze,97c3bfb9-9eae-4227-91d3-c3325d7a76e9.png,https://hamee.co.jp/recruit/love-odawara,"私たちHameeの「Mission」は『By your side, 人を彩るモノづくりと脱炭素の両立』です。\nこれからは地球にも寄り添いながら、よりいろどりあふれる世界を目指して、相棒となるプロダクトやサービスを生み出し続けます。"
株式会社サイバーエージェント,bronze,c832ede4-9c96-4d3f-9a5e-ab2a66497280.png,https://www.cyberagent.co.jp/,サイバーエージェントはインターネットを軸に、メディア事業、インターネット広告事業、ゲーム事業と主に3つの事業を展開しています。当社が展開する競輪業界売上No.1（※）のインターネット競輪投票サービス「WINTICKET」は、Flutterで開発しております。\n※2023年10月～12月の勝者投票券売上実績。（自社調べ）
株式会社ハイヤールー,gold,6cb7afa5-74e0-4a4b-b94e-1ff06825097c.png,https://hireroo.io/,HireRoo（ハイヤールー） は、エンジニア採用を効率化するコーディンス試験サービスです。\n幅広い設問が豊富に揃い、職能やレイヤー、測りたいスキルに合わせて最適な試験を作ることができます。\nさらに英語対応もしており、海外採用にも利用可能です。\n詳しくはこちらをご覧ください！\nhttps://hireroo.io/
株式会社ゆめみ,platinum,35b0d521-e0c6-40a7-947c-f72e9ac404ff.svg,https://www.yumemi.co.jp/,6000万人のみんな知ってるあのサービスも、ゆめみが一緒に作ってます。大手企業や急成長スタートアップと共創型でWeb/スマホのサービス作りや内製化支援を行っています。【エンジニアが最も成長できる会社No.1】を目標にしたアジャイル組織として先端を走るエンジニア集団です。
株式会社YOUTRUST,gold,5524fd15-566f-4b4b-9a4b-f12f7a387d00.png,https://youtrust.co.jp/,「日本のモメンタムを上げる 偉大な会社を創る」をビジョンに掲げ、次世代のキャリア市場・キャリア形成の文化を創るため、キャリアSNS「YOUTRUST」や、法人向けHR Tech Saasを開発しています。\n「YOUTRUST」のiOS/AndroidアプリはFlutterで開発されています。\nFlutterの勉強会の主催も行っており、今後もFlutterコミュニティへの貢献に努めてまいります
株式会社MIXI,bronze,05353993-22b1-42af-a6e7-764b398db1aa.png,https://mixi.co.jp/,MIXIは「豊かなコミュニケーションを広げ、世界を幸せな驚きで包む。」というパーパスのもと、主にスポーツ、ライフスタイル、デジタルエンターテインメントの3つの領域で事業を推進し、友人や家族と一緒に楽しむコミュニケーションサービスを提供しています。
